Title,Country,Type,Month,URL
"Belize City Council receives donation of over 3000 hygienic products from Kaohsiung City, Taiwan",Belize,Health,January,https://www.breakingbelizenews.com/2023/01/31/belize-city-council-receives-donation-of-over-3000-hygienic-products-from-kaohsiung-city-taiwan/
Belize and Taiwan sign MOU for San Pedro Hospital,Belize,Health,January,https://www.sanpedrosun.com/community-and-society/2023/01/11/belize-and-taiwan-sign-mou-for-san-pedro-hospital/
Ministry of Health and Wellness receives medical supplies from Taiwan,Belize,Health,January,https://www.breakingbelizenews.com/2023/01/10/ministry-of-health-and-wellness-receives-medical-supplies-from-taiwan/
Fisheries Department gets satellite equipment to monitor fishing vessels,Belize,Security,January,https://www.breakingbelizenews.com/2023/01/21/fisheries-department-gets-satellite-equipment-to-monitor-fishing-vessels/
Taiwan’s generosity recognized: Ambassador Candice Pitts expresses gratitude for Hurricane Lisa relief efforts,Belize,Humanitarian,February,https://www.breakingbelizenews.com/2023/02/03/taiwans-generosity-recognized-ambassador-candice-pitts-expresses-gratitude-for-hurricane-lisa-relief-efforts/
Taiwan funds new incubation program for female entrepreneurs in Belize,Belize,Gender Equality,February,https://www.breakingbelizenews.com/2023/02/11/taiwan-funds-new-incubation-program-for-female-entrepreneurs-in-belize/
"Ministry of Agriculture plans 8th Lamb and Mutton Culinary Craft Workshop in Yo Creek for Thursday, February 16",Belize,Agriculture,February,https://www.breakingbelizenews.com/2023/02/08/ministry-of-agriculture-plans-8th-lamb-and-mutton-culinary-craft-workshop-in-yo-creek-for-thursday-february-16/
"Taiwan donates 5,000 laptops to Belize",Belize,Education,April,https://www.breakingbelizenews.com/2023/04/03/taiwan-donates-5000-laptops-to-belize/
"Belize City Council, Taiwan donate fire truck to National Fire Service",Belize,Government capacity,May,https://www.breakingbelizenews.com/2023/05/30/belize-city-council-taiwan-donate-fire-truck-to-national-fire-service/
Families in Cayo benefit from Small Ruminant Grant for improving Livelihood Resilience in Western Belize,Belize,Agriculture,May,https://www.breakingbelizenews.com/2023/05/16/families-in-cayo-benefit-from-small-ruminant-grant-for-improving-livelihood-resilience-in-western-belize/
Belize and the Republic of China (Taiwan) Sign MOU for Collaboration on CORVI,Belize,Government capacity,August,https://radiojamaicanewsonline.com/local/belize-and-the-republic-of-china-taiwan-sign-mou-for-collaboration-on-corvi
Embassy of Taiwan Donates Computers to Belize Ministry of Youth,Belize,Government capacity,August,https://lovefm.com/embassy-of-taiwan-donates-computers-to-belize-ministry-of-youth/
Taiwan gives $1.5 million for National Assembly renovation,Belize,Government capacity,October,https://www.breakingbelizenews.com/2023/10/16/taiwan-gives-1-5-million-for-national-assembly-renovation/
"Govt to launch ‘On-Site’, Youth internship programme funded by Taiwan",SVG,Education,January,https://www.stvincenttimes.com/st-vincent-government-launch-on-site-new-internship-programme/
"Taiwan donates $240,000 thousand worth of medical equipment to SVG",SVG,Health,March,https://www.searchlight.vc/press-release/2023/03/31/taiwan-donates-240000-thousand-worth-medical-equipment-svg/
Taiwan investing USD $3-million towards tertiary education in SVG,SVG,Education,April,https://www.stvincenttimes.com/taiwan-will-invest-usd-30-million-towards-tertiary-education-in-svg/
Taiwan donates medical supplies to SVG,SVG,Health,April,https://www.searchlight.vc/news/2023/04/14/taiwan-donates-medical-supplies-svg/
St Vincent procures and provides learning devices for students,SVG,Education,May,https://caribbean.loopnews.com/content/taiwan-donates-laptops-st-vincent-and-grenadines
 Simply Help Foundation donates essential items to SVG,SVG,Humanitarian,May,https://www.searchlight.vc/news/2023/05/05/simply-help-foundation-donates-essential-items-svg/
Taiwan donates CCTV and mobile cameras to police,SVG,Security,October,https://www.searchlight.vc/news/2023/10/06/taiwan-donates-cctv-mobile-cameras-police/
Needy families to benefit from over US$100K in charitable donatio,SL,Humanitarian,February,https://stlucia.loopnews.com/content/needy-families-benefit-over-us100k-charitable-donations-644681
Embassy of Taiwan provide support to youth and sports development,SL,Education,February,https://stlucia.loopnews.com/content/embassy-taiwan-provide-support-youth-and-sports-development-645506
Taiwan Technical Mission supports SLISBA’s women entrepreneurs,SL,Gender Equality,March,https://stlucia.loopnews.com/content/taiwan-technical-mission-supports-slisbas-women-entrepreneurs
"Taiwan, Saint Lucia Sign Memorandum of Understanding for Improved Public Health",SL,Health,March,https://www.thevoiceslu.com/2023/03/taiwan-saint-lucia-sign-memorandum-of-understanding-for-improved-public-health/
Indigent to benefit from more Taiwan/St Lucia collaboration,SL,Health,April,https://stlucia.loopnews.com/content/indigent-benefit-more-taiwanst-lucia-collaboration-653075
Taiwan Gifts SMART Classroom to Belle Vue Human Resource Centre,SL,Education,May,https://www.thevoiceslu.com/2023/05/taiwan-gifts-smart-classroom-to-belle-vue-human-resource-centre/
Saint Lucia: Taiwan donates Table Tennis equipment to Sports Ministry,SL,Education,May,https://associatestimes.com/saint-lucia-taiwan-donates-table-tennis-equipment-to-sports-ministry/
39 Young Saint Lucian Entrepreneurs Benefit From Youth Economy Agency Disbursements,SL,Education,May,https://stluciatimes.com/154816/2023/05/39-young-saint-lucian-entrepreneurs-benefit-from-youth-economy-agency-disbursements/
WATCH: Saint Lucia Police Get Surveillance Equipment From Taiwan,SL,Security,June,https://stluciatimes.com/155671/2023/06/watch-saint-lucia-police-get-surveillance-equipment-from-taiwan/
" Saint Lucia, Taiwan Sign MoU to Strengthen Capacity of MSMEs",SL,Other,June,https://www.thevoiceslu.com/2023/06/saint-lucia-taiwan-sign-mou-to-strengthen-capacity-of-msmes/
Dozens Graduate from Taiwan-funded Sea Moss Training Workshop,SL,Agriculture,June,https://www.thevoiceslu.com/2023/06/dozens-graduate-from-taiwan-funded-sea-moss-training-workshop/
"SVG, St Lucia sign MOU on Livestock Sector & Sea Moss production",SL,Agriculture,July,https://www.stvincenttimes.com/svg-st-lucia-sign-mou-on-livestock-sector-sea-moss-production/
Raise Your Voice Saint Lucia Breaks Ground For Agro-Processing Facility For Women,SL,Gender Equality,August,https://stluciatimes.com/156990/2023/08/raise-your-voice-saint-lucia-breaks-ground-for-agro-processing-facility-for-women/
" St. Lucia’s Ministry of Agriculture, Taiwan Technical Mission host Dragon Fruit Workshop",SL,Agriculture,October,https://www.thestkittsnevisobserver.com/st-lucias-ministry-of-agriculture-taiwan-technical-mission-host-dragon-fruit-workshop/
Republic Of China (Taiwan) Donates 3000 Laptops To The Ministry Of Education,SKN,Education,March,https://zizonline.com/republic-of-china-taiwan-donates-3000-laptops-to-the-ministry-of-education/
Taiwan Donates To St. Christopher National Trust,SKN,Other,March,https://zizonline.com/taiwan-donates-to-st-christopher-national-trust/
Taiwan’s Resident Ambassador to SKN Commends NIA for Promoting STEM,SKN,Education,April,https://www.thestkittsnevisobserver.com/taiwans-resident-ambassador-to-skn-commends-nia-for-promoting-stem/
"Republic of China (Taiwan) donates US$1,500,000 to St Kitts and Nevis, PM Drew expresses gratitude",SKN,Government capacity,April,https://wicnews.com/caribbean/republic-of-china-taiwan-donates-us1500000-to-st-kitts-and-nevis-pm-drew-expresses-gratitude-403553949/
Taipei donates 50 YouBikes to St. Kitts and Nevis,SKN,Other,June,https://focustaiwan.tw/politics/202306090008
Department of Agriculture hosts sensitization session to,SKN,Agriculture,July,https://m.sknvibes.com/news/newsdetails.cfm/122427
Minister Duggins Unveils New Ministry Hub At Port Zante,SKN,Government capacity,October,https://www.thestkittsnevisobserver.com/117020-2/
,,,,
"Other = Culture, Transportation, Economy support",,,,